Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
619,Old Dominion Freight Line,4015.10,-0.023,672.7,0.093,"4,369.40",28112.90,15,19779,-,-
620,Amerco,3978.90,0.056,442,0.192,"13,438",12011.70,43,22200,-,-
621,Spectrum Brands Holdings,3964.20,-0.042,97.8,-0.802,"5,107.30",3622.90,8,12100,-,-
622,ASGN,3950.60,0.007,200.3,0.147,"3,278",5058.30,30,4200,-,-
623,Snap-on,3942.20,-0.031,627,-0.096,"6,557.30",12561.00,14,12300,-,-
624,Pool,3936.60,0.23,366.7,0.402,"1,739.70",13863.50,123,4750,-,-
625,Parsons,3918.90,-0.009,98.5,-0.182,"3,937.70",4139.50,23,15500,-,-
626,Genesis Healthcare,3906.20,-0.144,-59,-5.033,"4,062.20",47.30,-37,44000,-,-
627,Digital Realty Trust,3903.60,0.216,356.4,-0.385,"36,076.30",39593.10,119,2878,-,-
628,Diebold Nixdorf,3902.30,-0.115,-269.1,-,"3,657.40",1104.70,-21,22000,-,-
629,MDC Holdings,3901.20,0.185,367.6,0.542,"3,864.90",4160.30,104,1773,-,-
630,EnLink Midstream,3893.80,-0.357,-421.5,-,"8,550.90",2102.30,-147,1069,-,-
631,NortonLifeLock,3858.00,-0.185,"3,887",124.387,"7,735",12371.20,-58,3600,-,-
632,CNO Financial Group,3821.10,-0.048,301.8,-0.263,"35,339.90",3245.40,11,3400,-,-
633,Stifel Financial,3817.80,0.086,503.5,0.123,"26,604.30",6724.60,57,8500,-,-
634,Ventas,3795.40,-0.02,439.1,0.014,"23,929.40",19984.30,21,448,-,-
635,Lamb Weston Holdings,3792.40,0.01,365.9,-0.235,"4,662.30",11339.60,30,7700,-,-
636,American National Group,3792.40,-0.068,467.5,-0.246,"29,467.80",2900.30,-,4600,-,-
637,Autodesk,3790.40,0.158,"1,208.20",4.633,"7,279.80",60860.00,100,11500,-,-
638,Mercury General,3784.50,-0.047,374.6,0.17,"6,328.20",3367.10,8,4300,-,-
639,PerkinElmer,3782.70,0.312,727.9,2.199,"7,960.30",14376.40,170,14000,-,-
640,American Water Works,3777.00,0.046,709,0.142,"24,766",27205.60,42,7000,-,-
641,Hologic,3776.40,0.121,"1,115.20",-,"7,195.80",19164.90,77,5814,-,-
642,American Eagle Outfitters,3759.10,-0.127,-209.3,-2.094,"3,434.80",4874.30,-26,21750,-,-
643,Flowserve,3728.10,-0.054,116.3,-0.513,"5,314.70",5056.00,7,16000,-,-
644,Navient,3728.00,-0.326,412,-0.31,"87,412",2629.80,-134,6485,-,-
645,Steelcase,3723.70,0.081,199.7,0.585,"2,565.40",1653.50,61,13350,-,-
646,Compass,3720.80,0.559,-270.2,-,"1,365.10",-,-,2702,-,-
647,Twitter,3716.30,0.074,"-1,135.60",-1.775,"13,379.10",50786.40,57,5500,-,-
648,Triple-S Management,3702.40,0.097,67.2,-0.277,"3,088.40",616.40,68,3911,-,-
649,Penn Mutual Life Insurance,3700.20,-0.001,287,-0.275,"40,003.50",-,18,3162,-,-
650,Brink's,3690.90,0.002,16,-0.448,"5,135.60",3939.50,19,75100,-,-
651,Synopsys,3685.30,0.097,664.3,0.248,"8,030.10",37755.00,72,15036,-,-
652,Tempur Sealy International,3676.90,0.184,348.8,0.841,"3,308.60",7376.60,111,9000,-,-
653,Lennox International,3634.10,-0.045,356.3,-0.128,"2,032.50",11757.40,7,10300,-,-
654,Las Vegas Sands,3612.00,-0.737,"-1,685",-1.625,"20,807",46412.40,-419,46000,-,-
655,ScanSource,3609.20,-0.068,-192.7,-4.345,"1,692.10",762.30,-1,2200,-,-
656,APi Group,3587.00,-,-153,-,"4,065",4149.50,-,13000,-,-
657,Pinnacle West Capital,3587.00,0.033,550.6,0.023,"20,020.40",9167.50,44,6026,-,-
658,Sentry Insurance Group,3585.30,-0.026,201.8,-0.378,"21,631.50",-,12,4150,-,-
659,Penn National Gaming,3578.70,-0.325,-669.5,-16.251,"14,667.30",16406.00,-132,18321,-,-
660,Darling Ingredients,3571.90,0.062,296.8,-0.05,"5,613.30",12004.70,60,10000,-,-
661,Alaska Air Group,3566.00,-0.594,"-1,324",-2.722,"14,046",8608.90,-301,20677,-,-
662,Sanderson Farms,3564.30,0.036,28.3,-0.469,"1,849",3478.60,45,17445,-,-
663,Granite Construction,3562.50,0.034,-145.1,-,"2,380",1843.00,49,4100,-,-
664,Pitney Bowes,3554.10,0.022,-181.5,-1.933,"5,220.10",1431.00,35,11500,-,-
665,Brookdale Senior Living,3540.20,-0.127,82,-,"6,901.80",1109.90,-27,38250,-,-
666,Ciena,3532.20,-0.011,361.3,0.426,"4,180.90",8481.80,18,7032,-,-
667,Medical Mutual of Ohio,3524.20,0.006,100.4,0.2,"2,611.60",-,28,2873,-,-
668,Sally Beauty Holdings,3514.30,-0.093,113.2,-0.583,"2,895.10",2271.00,-15,30000,-,-
669,Timken,3513.20,-0.073,284.5,-0.214,"5,041.60",6165.90,-8,17430,-,-
670,Service Corp. International,3511.50,0.087,515.9,0.396,"14,515.40",8646.40,72,20319,-,-
671,Hub Group,3495.60,-0.047,73.6,-0.314,"2,105.40",2316.70,1,5000,-,-
672,Antero Resources,3491.70,-0.208,"-1,267.90",-,"13,150.80",3072.10,-64,522,-,-
673,Primoris Services,3491.50,0.124,105,0.275,"1,969.60",1779.90,89,10414,-,-
674,Endeavor Group Holdings,3478.70,-0.239,-654.9,-,"9,633.60",-,-,6400,-,-
675,Caesars Entertainment,3474.00,0.374,"-1,757",-22.691,"36,385",18213.90,193,21000,-,-
676,Ryerson Holding,3466.60,-0.23,-65.8,-1.799,"1,802.10",649.50,-82,3900,-,-
677,Maximus,3461.50,0.199,214.5,-0.109,"2,024.70",5471.70,131,34300,-,-
678,Urban Outfitters,3449.70,-0.134,1.2,-0.993,"3,546.30",3637.80,-34,14250,-,-
679,Cboe Global Markets,3427.10,0.373,468.2,0.249,"6,516.50",10580.60,193,1010,-,-
680,Alliant Energy,3416.00,-0.064,614,0.102,"17,710",13533.60,-5,3375,-,-
681,ARKO,3409.40,-0.06,13.2,-,"2,739.80",1236.80,-,10380,-,-
682,Palo Alto Networks,3408.40,0.175,-267,-,"9,065.40",31318.00,122,8014,-,-
683,Gannett,3405.70,0.823,-670.5,-,"3,108.90",748.00,-,20800,-,-
684,Spirit AeroSystems Holdings,3404.80,-0.567,-870.3,-2.642,"8,383.90",5129.70,-278,14500,-,-
685,Plexus,3390.40,0.071,117.5,0.082,"2,289.80",2646.70,65,19500,-,-
686,First Horizon,3390.00,0.488,845,0.917,"84,209",9362.60,241,8358,-,-
687,Toro,3378.80,0.077,329.7,0.203,"2,853.20",11099.90,69,10385,-,-
688,Airbnb,3378.20,-0.297,"-4,584.70",-,"10,491.50",114349.20,-,5597,-,-
689,Brown-Forman,3363.00,0.012,827,-0.01,"5,766",32119.30,41,4800,-,-
690,Skyworks Solutions,3355.70,-0.006,814.8,-0.045,"5,106.70",30290.40,24,10000,-,-
691,Dentsply Sirona,3342.00,-0.171,-83,-1.316,"9,342",13977.50,-49,15000,-,-
692,Zillow Group,3339.80,0.218,-162.1,-,"7,486.60",31310.90,140,5504,-,-
693,Super Micro Computer,3339.30,-0.046,84.3,0.172,"1,918.60",1975.50,4,3987,-,-
694,PriceSmart,3329.20,0.033,78.1,0.067,"1,656.80",2973.90,50,9500,-,-
695,Puget Energy,3326.50,-0.022,182.7,-0.133,"15,043",-,15,3150,-,-
696,Acuity Brands,3326.30,-0.094,248.3,-0.248,"3,491.70",5891.40,-25,11500,-,-
697,GoDaddy,3316.70,0.11,-495.1,-4.614,"6,432.90",13201.30,90,6621,-,-
698,Southwest Gas Holdings,3298.90,0.057,232.3,0.086,"8,735.90",3935.90,59,11149,-,-
699,Elanco Animal Health,3273.30,0.066,-560.1,-9.249,"17,692.70",13924.00,69,10200,-,-
700,Tri Pointe Homes,3260.40,0.058,282.2,0.362,"4,022",2430.30,66,1163,-,-
701,Applied Industrial Technologies,3245.70,-0.065,24,-0.833,"2,283.60",3540.30,-1,6200,-,-
702,Avient,3242.10,-0.033,131.6,-0.776,"4,870.50",4315.50,22,8400,-,-
703,GMS,3241.30,0.04,23.4,-0.582,"2,288.80",1788.80,55,5611,-,-
704,Virtu Financial,3239.30,1.117,649.2,-,"9,965.80",5974.40,-,976,-,-
705,Qorvo,3239.10,0.048,334.3,1.511,"6,560.70",20693.10,60,7900,-,-
706,Illumina,3239.00,-0.086,656,-0.345,"7,585",56034.40,-19,8575,-,-
707,Citrix Systems,3236.70,0.075,504.4,-0.26,"4,890.30",17259.20,72,9000,-,-
708,Atlas Air Worldwide Holdings,3211.10,0.172,360.3,-,"6,029.20",1740.50,125,4061,-,-
709,Acadia Healthcare,3209.70,0.033,-672.1,-7.171,"6,499.40",5109.00,51,35400,-,-
710,Dycom Industries,3199.20,-0.042,34.3,-0.4,"1,944.20",2842.70,15,14276,-,-
711,Akamai Technologies,3198.10,0.105,557.1,0.165,"7,764.10",16632.10,95,8368,-,-
712,MSC Industrial Direct,3192.40,-0.051,251.1,-0.131,"2,382.40",5033.90,9,6315,-,-
713,PRA Health Sciences,3183.40,0.038,197,-0.189,"4,178.50",9896.50,56,18100,-,-
714,Bloomin' Brands,3170.60,-0.234,-158.7,-2.216,"3,362.10",2403.50,-86,77000,-,-
715,Varian Medical Systems,3168.20,-0.018,269.2,-0.078,"4,462.20",16212.30,28,10613,-,-
716,Xilinx,3162.70,0.034,792.7,-0.109,"4,693.30",30450.50,56,4891,-,-
717,Century Communities,3161.20,0.247,206.2,0.824,"2,845.10",2033.30,150,1403,-,-
718,Advantage Solutions,3155.70,-0.166,-162.4,-,"5,777.50",3760.90,-,40000,-,-
719,CIT Group,3150.40,-0.044,-615.3,-2.161,"58,106.60",5084.40,13,4306,-,-
720,Trimble,3147.70,-0.036,389.9,-0.242,"6,876.90",19551.90,18,11402,-,-
721,Clean Harbors,3144.10,-0.079,134.8,0.38,"4,131.50",4606.20,-12,13500,-,-
722,Grocery Outlet Holding,3134.60,0.225,106.7,5.921,"2,485.60",3513.80,143,860,-,-
723,Albemarle,3128.90,-0.128,375.8,-0.295,"10,450.90",17053.70,-40,5900,-,-
724,Abercrombie & Fitch,3125.40,-0.137,-114,-3.897,"3,314.90",2131.10,-46,20550,-,-
725,Par Pacific Holdings,3124.90,-0.421,-409.1,-11.024,"2,133.90",843.70,-209,1403,-,-
726,Teradyne,3121.50,0.36,784.1,0.677,"3,652.30",20267.60,195,5500,-,-
727,BlueLinx Holdings,3097.30,0.174,80.9,-,"1,048.10",371.10,125,2100,-,-
728,Catalent,3094.30,0.229,220.7,0.606,"7,776.50",17926.60,141,13900,-,-
729,Comerica,3094.00,-0.189,474,-0.604,"88,129",10007.10,-70,7681,-,-
730,Take-Two Interactive Software,3089.00,0.158,404.5,0.212,"4,948.80",20351.90,115,5800,-,-
731,EnerSys,3087.90,0.1,137.1,-0.144,"3,301.70",3876.00,93,11400,-,-
732,Teledyne Technologies,3086.20,-0.024,401.9,-0.001,"5,084.80",15314.30,19,10670,-,-
733,Marathon Oil,3086.00,-0.405,"-1,451",-4.023,"17,956",8427.30,-199,1672,-,-
734,Mettler-Toledo International,3085.20,0.025,602.7,0.074,"2,814.50",26951.70,46,15700,-,-
735,Terex,3082.40,-0.341,-10.6,-1.195,"3,031.80",3212.30,-159,8200,-,-
736,Brinker International,3078.50,-0.043,24.4,-0.842,"2,356",3230.40,9,62200,-,-
737,Colfax,3070.80,-0.29,42.6,-,"7,351.50",5896.70,-123,15400,-,-
738,Worthington Industries,3059.10,-0.186,78.8,-0.487,"2,331.50",3476.10,-74,9000,-,-
739,EQT,3058.80,-0.307,-967.2,-,"18,113.50",5181.10,-134,624,-,-
740,IAC/InterActiveCorp,3047.70,-,269.7,-,"9,135.40",19201.20,-,8200,-,-
741,M/I Homes,3046.10,0.218,239.9,0.88,"2,643",1719.50,130,1515,-,-
742,Meritor,3044.00,-0.306,245,-0.158,"2,884",2134.00,-133,8600,-,-
743,Garrett Motion,3034.00,-0.066,80,-0.744,"3,017",393.50,-4,7450,-,-
744,Option Care Health,3032.60,0.313,-8.1,-,"2,647.40",3189.90,174,5499,-,-
745,Carter's,3024.30,-0.141,109.7,-0.584,"3,392.60",3908.50,-56,18000,-,-
746,Quad/Graphics,3009.00,-0.273,-128.3,-,"1,927.70",194.90,-116,15800,-,-
747,Hexion,3003.00,-0.11,-230,-,"4,002",-,-30,2600,-,-
748,Tetra Tech,2994.90,-0.036,173.9,0.096,"2,378.60",7359.90,13,20000,-,-
749,Allegheny Technologies,2982.10,-0.277,"-1,572.60",-7.105,"4,034.90",2671.00,-116,6500,-,-
750,Meredith,2960.70,-0.18,-234.3,-6.06,"5,510.10",1359.00,-69,5330,-,-
751,ResMed,2957.00,0.134,621.7,0.537,"4,587.40",28231.70,107,7770,-,-
752,JetBlue Airways,2957.00,-0.635,"-1,354",-3.38,"13,406",6440.40,-358,18485,-,-
753,iHeartMedia,2948.20,-0.2,"-1,914.70",-,"9,203",2584.60,-85,9588,-,-
754,Zions Bancorp.,2942.00,-0.093,539,-0.339,"81,479",8993.30,-14,9678,-,-
755,ArcBest,2940.20,-0.016,71.1,0.778,"1,779",1787.10,31,13000,-,-
756,TEGNA,2937.80,0.278,482.8,0.687,"6,848.70",4154.40,164,6430,-,-
757,Crane,2936.90,-0.105,181,0.358,"4,588.90",5474.90,-22,11000,-,-
758,Carlyle Group,2934.60,-0.131,348.2,-0.086,"15,644.80",13020.20,-45,1825,-,-
759,AptarGroup,2929.30,0.024,214,-0.116,"3,990.10",9352.00,53,13000,-,-
760,Charles River Laboratories International,2923.90,0.115,364.3,0.446,"5,490.80",14552.40,95,18400,-,-
761,Selective Insurance Group,2922.30,0.027,246.4,-0.093,"9,687.90",4354.10,53,2400,-,-
762,Public Storage,2915.10,0.024,"1,357.20",-0.107,"11,816.50",43131.10,51,5400,-,-
763,Regal Rexnord,2907.00,-0.102,189.3,-0.208,"4,589",5796.20,-22,23000,-,-
764,McAfee,2906.00,0.103,-118,-,"5,428",9764.50,-,6916,-,-
765,Triumph Group,2900.10,-0.138,-28.1,-,"2,980.30",1010.50,-46,9989,-,-
766,Valmont Industries,2895.40,0.046,140.7,-0.085,"2,953.20",5053.70,61,10844,-,-
767,A.O. Smith,2895.30,-0.033,344.9,-0.068,"3,160.70",10932.70,18,13900,-,-
768,Graham Holdings,2889.10,-0.015,300.4,-0.084,"6,444.10",2813.10,27,16661,-,-
769,Marriott Vacations Worldwide,2886.00,-0.337,-275,-2.993,"8,898",7183.20,-157,18000,-,-
769,DoorDash,2886.00,2.261,-461,-,"6,353",42153.50,-,3886,-,-
771,Moog,2884.60,-0.007,9.2,-0.949,"3,225.80",2664.80,29,12623,-,-
772,Peabody Energy,2881.10,-0.377,"-1,870.30",-,"4,667.10",300.90,-190,4600,-,-
773,Hill-Rom Holdings,2881.00,-0.009,223,0.465,"4,671.10",7331.70,26,10000,-,-
774,Avaya Holdings,2873.00,-0.005,-680,-,"6,231",2351.80,33,8266,-,-
775,Energizer Holdings,2860.60,0.048,-93.3,-2.826,"5,728.30",3244.70,59,5900,-,-
776,Comfort Systems USA,2856.70,0.092,150.1,0.313,"1,757.40",2705.60,80,11100,-,-
777,RH,2848.60,0.076,271.8,0.233,"2,898.30",12526.70,73,4750,-,-
778,Atmos Energy,2821.10,-0.028,601.4,0.176,"15,359",12668.70,24,4694,-,-
779,AMC Networks,2815.00,-0.08,240,-0.369,"5,246.30",2204.00,-8,2180,-,-
780,Rent-A-Center,2814.20,0.054,208.1,0.199,"1,751",3137.50,64,14320,-,-
781,Diamondback Energy,2813.00,-0.29,"-4,517",-19.821,"17,619",13288.70,-134,732,-,-
782,Hyster-Yale Materials Handling,2812.10,-0.146,37.1,0.036,"1,859.50",1464.70,-48,7600,-,-
783,Resolute Forest Products,2800.00,-0.042,10,-,"3,730",884.90,13,7100,-,-
784,LCI Industries,2796.20,0.179,158.4,0.081,"2,298",3328.00,116,12400,-,-
785,Greenbrier,2792.20,-0.08,49,-0.311,"3,173.80",1550.00,-8,10600,-,-
786,H.B. Fuller,2790.30,-0.037,123.7,-0.054,"4,036.70",3286.90,19,6428,-,-
787,Louisiana-Pacific,2788.00,0.207,499,-,"2,086",5909.00,132,4500,-,-
788,Verisk Analytics,2784.60,0.068,712.7,0.584,"7,561.80",28763.60,69,8960,-,-
789,Western Midstream Partners,2772.60,0.01,527,-0.244,"11,830",7678.80,-,1045,-,-
790,Boston Properties,2765.70,-0.066,872.7,0.673,"22,858.20",15776.90,-1,750,-,-
791,Joann,2762.30,0.233,212.3,-,"2,337.30",409.80,-,27500,-,-
792,Mr. Cooper Group,2733.00,0.362,305,0.113,"24,165",3150.00,204,9800,-,-
793,Amica Mutual Insurance,2728.00,-0.029,183.7,0.06,"6,774.40",-,30,3832,-,-
794,Scientific Games,2724.00,-0.199,-569,-,"7,984",3674.40,-83,9000,-,-
795,TopBuild,2718.00,0.036,247,0.293,"2,815.30",6925.40,59,10540,-,-
796,TransUnion,2716.60,0.023,343.2,-0.011,"7,311.60",17214.50,51,8200,-,-
797,PAE,2714.60,-0.018,15.3,-,"1,829.40",839.50,31,20000,-,-
798,First Solar,2711.30,-0.115,398.4,-,"7,108.90",9252.60,-28,5100,-,-
799,Rackspace Technology,2707.10,0.11,-245.8,-,"6,377.80",4887.30,-,7200,-,-
800,IDEXX Laboratories,2706.70,0.125,581.8,0.36,"2,294.60",41899.50,87,9300,-,-
801,Vontier,2704.60,-,342,-,"3,073",5101.90,-,8400,-,-
802,SiteOne Landscape Supply,2704.50,0.147,121.3,0.561,"1,695.70",7579.50,102,4680,-,-
803,Laureate Education,2699.50,-0.281,-613.3,-1.654,"4,970.90",2703.90,-137,30000,-,-
804,Central Garden & Pet,2695.50,0.131,120.7,0.301,"2,339.40",2937.00,92,5950,-,-
805,Cadence Design Systems,2682.90,0.148,590.6,-0.403,"3,950.80",38229.90,105,8746,-,-
806,Stericycle,2675.50,-0.191,-57.3,-,"5,581.90",6184.50,-75,15290,-,-
807,Incyte,2666.70,0.235,-295.7,-1.662,"3,560.90",17866.70,146,1773,-,-
808,EPAM Systems,2659.50,0.159,327.2,0.253,"2,721.30",22285.80,115,41168,-,-
809,Lincoln Electric Holdings,2655.40,-0.116,206.1,-0.297,"2,314.50",7334.60,-26,10700,-,-
810,Zoom Video Communications,2651.40,3.258,672.3,25.569,"5,298",94367.70,-,4422,-,-
811,H&R Block,2639.70,-0.147,-7.5,-1.018,"5,112",3955.20,-47,42000,-,-
812,Kansas City Southern,2632.60,-0.081,617,0.145,"9,964",24000.00,-1,6522,-,-
813,Cabot,2614.00,-0.217,-238,-2.516,"2,781",2969.00,-87,4500,-,-
814,Brown & Brown,2613.40,0.092,480.5,0.206,"8,966.50",12958.20,79,10843,-,-
815,Popular,2603.90,-0.08,506.6,-0.245,"65,926",5933.50,5,8522,-,-
816,Fortinet,2594.40,0.199,488.5,0.473,"4,044.50",30095.70,138,8238,-,-
817,PC Connection,2590.30,-0.081,55.8,-0.321,"1,015.40",1214.30,5,2598,-,-
818,Continental Resources,2586.50,-0.442,-596.9,-1.77,"14,633.10",9447.60,-237,1201,-,-
819,Opendoor Technologies,2583.10,-0.455,-286.8,-,"2,175.60",12231.50,-,1048,-,-
820,Nu Skin Enterprises,2581.90,0.067,191.4,0.103,"1,957.10",2689.20,64,26000,-,-
821,Donaldson,2581.80,-0.092,257,-0.038,"2,244.60",7335.30,-5,12400,-,-
822,Hawaiian Electric Industries,2579.80,-0.103,197.8,-0.092,"15,004",4855.40,-12,3702,-,-
823,NLV Financial,2573.40,-0.072,193.6,-0.134,"40,351.70",-,3,1155,-,-
824,Equity Residential,2571.70,-0.048,913.6,-0.058,"20,286.90",26693.90,14,2600,-,-
825,Mednax,2564.80,-0.27,-796.5,-,"3,347.90",2195.40,-134,7900,-,-
826,MRC Global,2560.00,-0.301,-274,-8.026,"1,781",746.60,-152,2600,-,-
827,Overstock.com,2549.80,0.747,56,-,830.2,3151.30,-,1750,-,-
828,Visteon,2548.00,-0.135,-56,-1.8,"2,271",3404.30,-34,10000,-,-
829,Bio-Rad Laboratories,2545.60,0.101,"3,806.30",1.164,"12,972.60",17046.30,88,8000,-,-
830,Univision Communications,2541.90,-0.06,-23.8,-1.083,"9,288.10",-,7,4500,-,-
831,ContextLogic,2541.00,0.337,-745,-,"2,397",9764.40,-,875,-,-
832,Teleflex,2537.20,-0.022,335.3,-0.273,"7,152.60",19421.80,27,14000,-,-
833,Cracker Barrel Old Country Store,2522.80,-0.179,-32.5,-1.145,"2,544.30",4101.60,-66,55000,-,-
834,Cooper Tire & Rubber,2521.10,-0.084,142.8,0.481,"2,971.60",2826.20,-4,9839,-,-
835,ManTech International,2518.40,0.133,120.5,0.058,"2,213.70",3521.70,102,9400,-,-
836,Hillenbrand,2517.00,0.393,-60.1,-1.495,"3,987.40",3580.80,-,11000,-,-
837,Middleby,2513.30,-0.151,207.3,-0.411,"5,202.50",9222.10,-46,9289,-,-
838,Echo Global Logistics,2511.50,0.149,15.8,0.066,963.9,835.80,113,2593,-,-
839,Snap,2506.60,0.461,-944.8,-,"5,024.20",78869.20,-,3863,-,-
840,Vishay Intertechnology,2501.90,-0.062,122.9,-0.25,"3,154.50",3485.10,6,21600,-,-
841,Columbia Sportswear,2501.60,-0.178,108,-0.673,"2,836.60",7012.40,-67,7275,-,-
842,Woodward,2495.70,-0.139,240.4,-0.074,"3,903.30",7605.00,-39,7248,-,-
843,MillerKnoll,2486.60,-0.031,-9.1,-1.057,"2,053.90",2427.00,21,7600,-,-
844,Patrick Industries,2486.60,0.064,97.1,0.084,"1,753.40",2001.20,65,8700,-,-
845,Generac Holdings,2485.20,0.127,350.6,0.391,"3,235.40",20584.00,101,6625,-,-
846,PROG Holdings,2484.60,-0.371,-61.5,-2.953,"1,317.40",2931.90,-197,1868,-,-
847,Euronet Worldwide,2482.70,-0.097,-3.4,-1.01,"4,926.70",7295.70,-16,8100,-,-
848,Interactive Brokers Group,2479.00,-0.039,195,0.211,"95,679",6634.30,14,2033,-,-
849,ITT,2477.80,-0.129,72.5,-0.777,"4,277.60",7863.70,-34,9700,-,-
850,Align Technology,2471.90,0.027,"1,775.90",3.011,"4,829.70",42854.30,38,18070,-,-
851,Enable Midstream Partners,2463.00,-0.168,88,-0.778,"11,729",2822.50,-61,1706,-,-
852,FTI Consulting,2461.30,0.046,210.7,-0.028,"2,777.40",4797.50,54,6321,-,-
853,Cooper,2430.90,-0.084,238.4,-0.489,"6,737.50",18878.40,-5,12000,-,-
854,Country Financial,2429.30,-0.372,284.4,0.7,"15,133.90",-,-198,3346,-,-
855,Magellan Midstream Partners,2427.80,-0.11,817,-0.2,"8,197",9681.50,-20,1720,-,-
856,Floor & Decor Holdings,2425.80,0.186,195,0.294,"2,880.40",9988.20,127,7593,-,-
857,American Equity Investment Life Holding,2424.60,-0.3,671.5,1.729,"71,389.70",3009.00,-155,656,-,-
858,Griffon,2407.50,0.09,53.4,0.433,"2,456",1534.80,86,7400,-,-
859,Ensign Group,2402.60,0.051,170.5,0.542,"2,545.60",5132.60,67,24400,-,-
860,Texas Roadhouse,2398.10,-0.13,31.3,-0.821,"2,325.20",6679.30,-31,32474,-,-
861,Mueller Industries,2398.00,-0.013,139.5,0.382,"1,528.60",2361.70,22,5007,-,-
862,AMN Healthcare Services,2393.70,0.077,70.7,-0.38,"2,353.50",3477.20,77,3000,-,-
863,Curtiss-Wright,2391.30,-0.039,201.4,-0.345,"4,021.30",4853.00,12,8200,-,-
864,Match Group,2391.30,-0.497,128.6,-0.702,"2,977",36951.30,-296,1890,-,-
865,Fleetcor Technologies,2388.90,-0.098,704.2,-0.213,"11,194.60",22408.10,-16,8400,-,-
866,Matson,2383.30,0.082,193.1,1.335,"2,900.60",2897.10,81,4149,-,-
867,Gray Television,2381.00,0.122,410,1.291,"7,643",1748.10,95,7140,-,-
868,II-VI,2380.10,0.747,-67,-1.623,"5,234.70",7167.10,-,22969,-,-
869,Ashland Global Holdings,2377.00,-0.322,-508,-2.006,"6,877",5385.40,-175,4500,-,-
870,Cooper-Standard Holdings,2375.40,-0.236,-267.6,-4.963,"2,611.90",613.70,-111,26550,-,-
871,Werner Enterprises,2372.20,-0.037,169.1,0.013,"2,156.70",3208.00,9,12292,-,-
872,Playtika Holding,2371.50,0.256,92.1,-0.681,"1,776.20",11145.30,-,3800,-,-
873,LGI Homes,2367.90,0.288,323.9,0.813,"1,826.10",3712.40,-,938,-,-
874,Waters,2365.40,-0.017,521.6,-0.119,"2,839.90",17671.30,15,7412,-,-
875,Lyft,2364.70,-0.346,"-1,752.90",-,"4,679",20781.80,-195,4675,-,-
876,Healthpeak Properties,2364.00,0.184,413.6,8.083,"15,920.10",17103.80,122,217,-,-
877,Winnebago Industries,2355.50,0.186,61.4,-0.45,"1,713.70",2577.50,-,5505,-,-
878,Knights of Columbus,2353.30,-0.014,95,-0.359,"27,658.10",-,17,750,-,-
879,SLM,2353.10,-0.011,880.7,0.523,"30,770.40",6535.20,19,1600,-,-
880,Valvoline,2353.00,-0.015,317,0.524,"3,051",4729.70,14,8800,-,-
881,IDEX,2351.60,-0.057,377.8,-0.112,"4,414.40",15891.60,-8,7075,-,-
882,F5 Networks,2350.80,0.048,307.4,-0.281,"4,677.90",12861.60,50,6109,-,-
883,GEO Group,2350.10,-0.052,113,-0.322,"4,460.10",941.30,-5,20000,-,-
884,BrightView Holdings,2346.00,-0.024,-41.6,-1.937,"3,071",1773.80,7,19900,-,-
885,Hovnanian Enterprises,2343.90,0.162,50.9,-,"1,827.30",650.50,106,1697,-,-
886,Sprague Resources,2336.00,-0.333,33.8,0.082,"1,199.40",502.30,-190,765,-,-
887,Summit Materials,2332.50,0.05,138,1.336,"4,308",3216.60,51,6000,-,-
888,MKS Instruments,2330.00,0.226,350.1,1.494,"3,903.80",10245.40,-,5600,-,-
889,Arista Networks,2317.50,-0.039,634.6,-0.262,"4,738.90",23043.70,-3,2613,-,-
890,Alexandria Real Estate Equities,2315.10,0.334,771,1.123,"22,827.90",22458.60,-,470,-,-
891,Synovus Financial,2311.00,-0.04,373.7,-0.337,"54,394.20",6800.50,-1,5134,-,-
892,Viasat,2309.20,0.117,-0.2,-,"4,883.90",3294.20,80,6100,-,-
893,Southwestern Energy,2308.00,-0.24,"-3,112",-4.493,"5,160",3136.20,-117,900,-,-
894,People's United Financial,2307.70,-0.002,219.6,-0.578,"63,091.80",7632.10,22,5814,-,-
895,Hilltop Holdings,2306.90,0.267,447.8,0.988,"16,944.30",2805.10,-,4925,-,-
896,AvalonBay Communities,2301.30,-0.01,827.6,0.053,"19,199.10",25744.20,16,3028,-,-
897,Federated Mutual Insurance,2290.20,0.073,198.2,-0.137,"9,574.50",-,62,2689,-,-
898,Stewart Information Services,2288.40,0.18,154.9,0.97,"1,978.60",1392.00,-,5800,-,-
899,Evercore,2285.30,0.126,350.6,0.179,"3,370.90",5536.10,89,1791,-,-
900,Envista Holdings,2282.00,-,33.3,-,"6,876",6531.40,-,12400,-,-
901,TCF Financial,2281.70,0.112,222.8,-0.246,"47,802.50",7090.00,78,6833,-,-
902,REV Group,2277.60,-0.052,-30.5,-,"1,312.30",1236.20,-10,7060,-,-
903,Calumet Specialty Products Partners,2268.20,-0.343,-149,-,"1,808.30",479.70,-198,1400,-,-
904,Crestwood Equity Partners,2254.30,-0.292,-56.1,-1.197,"5,243.70",2074.60,-156,731,-,-
905,TTM Technologies,2249.30,-0.164,177.5,3.299,"2,895.90",1550.10,-64,16700,-,-
906,MYR Group,2247.40,0.085,58.8,0.559,995.9,1203.20,65,7200,-,-
