Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
147,World Fuel Services,20358.30,-0.447,109.6,-0.387,"4,500.30",2222.00,-56,4300,-56,399
148,D.R. Horton,20311.10,0.155,"2,373.70",0.467,"18,912.30",32413.10,35,9716,35,399
149,Nucor,20139.70,-0.108,721.5,-0.432,"20,125.40",23975.70,-10,26400,-10,399
150,Cummins,19811.00,-0.16,"1,789",-0.208,"22,624",37971.10,-18,57825,-18,211
151,NGL Energy Partners,19770.90,-0.179,-397,-2.103,"6,498.70",263.50,-24,1400,-24,-
152,DXC Technology,19577.00,-0.076,"-5,369",-5.271,"26,006",7958.60,3,138000,3,246
153,Union Pacific,19533.00,-0.1,"5,349",-0.096,"62,398",146948.30,-4,30960,-4,96
154,Whirlpool,19456.00,-0.047,"1,081",-0.087,"20,350",13831.70,8,78000,8,182
155,Molina Healthcare,19423.00,0.154,673,-0.087,"9,532",13647.30,38,10500,38,399
156,ConocoPhillips,19256.00,-0.475,"-2,701",-1.376,"62,618",71623.40,-63,9700,-63,169
157,McDonald's,19207.80,-0.089,"4,730.50",-0.215,"52,626.80",167112.50,-1,200000,-1,81
158,Kimberly-Clark,19140.00,0.037,"2,352",0.09,"17,523",46999.80,17,46000,17,146
159,Paccar,18728.50,-0.268,"1,298.40",-0.456,"28,260",32255.80,-41,26000,-41,399
160,PG&E,18469.00,0.078,"-1,318",-,"97,856",23240.60,29,24000,29,61
161,CDW,18467.50,0.024,788.5,0.07,"9,344.70",23291.80,17,10000,17,307
162,Sherwin-Williams,18361.70,0.026,"2,030.40",0.317,"20,401.60",65837.30,18,61031,18,163
163,L3Harris Technologies,18194.00,0.415,"1,119",-0.161,"36,960",41664.10,87,48000,87,136
164,Macy's,18097.00,-0.286,"-3,944",-7.993,"17,706",5028.10,-44,75711,-44,39
165,ManpowerGroup,18001.00,-0.137,23.8,-0.949,"9,328.20",5434.20,-7,25000,-7,86
166,NextEra Energy,17997.00,-0.063,"2,919",-0.226,"127,684",148304.90,6,14900,6,132
167,Tenet Healthcare,17640.00,-0.045,399,-,"27,106",5536.50,7,97900,7,315
168,Avnet,17634.30,-0.097,-31.1,-1.176,"8,105.20",4128.40,1,14600,1,-
169,General Mills,17626.60,0.045,"2,181.20",0.244,"30,806.70",37403.40,23,35000,23,145
170,WestRock,17578.80,-0.039,-690.9,-1.801,"28,779.70",13716.10,7,49300,7,326
171,Carrier Global,17456.00,-,"1,982",-,"25,093",36701.10,-,56000,-,305
172,Lincoln National,17439.00,0.01,499,-0.437,"365,948",11953.20,16,10966,16,343
173,Genuine Parts,17384.40,-0.104,-29.1,-1.047,"13,440.20",16691.80,-2,50000,-2,274
174,American Airlines Group,17337.00,-0.621,"-8,885",-6.27,"62,008",15328.80,-104,102700,-104,68
175,Marsh & McLennan,17224.00,0.034,"2,016",0.157,"33,049",62054.90,20,76000,20,117
176,Applied Materials,17202.00,0.178,"3,619",0.337,"22,353",122599.50,42,24000,42,82
177,Becton Dickinson,17117.00,-0.01,874,-0.291,"54,012",70649.70,10,72000,10,79
178,Delta Air Lines,17095.00,-0.636,"-12,385",-3.598,"71,996",30809.70,-110,74000,-110,228
179,Lear,17045.50,-0.14,158.5,-0.79,"13,198.60",10895.80,-13,174600,-13,214
180,Bank of New York Mellon,16940.00,-0.186,"3,617",-0.186,"469,633",41471.00,-21,48500,-21,15
181,Emerson Electric,16785.00,-0.086,"1,965",-0.148,"22,882",54134.70,-5,83500,-5,213
182,Western Digital,16736.00,0.01,-250,-,"25,662",20432.00,16,63800,16,204
183,Occidental Petroleum,16680.00,-0.241,"-14,831",-,"80,064",24848.70,-35,11800,-35,279
184,Nvidia,16675.00,0.527,"4,332",0.549,"28,791",331036.60,108,18975,108,52
185,Cognizant Technology Solutions,16652.00,-0.008,"1,392",-0.244,"16,923",41451.60,9,289500,9,183
186,Jones Lang LaSalle,16589.90,-0.077,402.5,-0.248,"14,316.50",9150.90,-7,90800,-7,103
187,Synchrony Financial,16472.00,-0.154,"1,385",-0.63,"95,948",23740.60,-17,16500,-17,264
188,Colgate-Palmolive,16471.00,0.05,"2,695",0.139,"15,920",66810.30,15,34200,15,153
189,AECOM,16390.80,-0.188,-186.4,-,"12,999",9469.80,-26,54000,-26,241
190,XPO Logistics,16252.00,-0.024,110,-0.737,"16,169",12601.70,6,119750,6,377
191,C.H. Robinson Worldwide,16207.10,0.059,506.4,-0.122,"5,144.30",12514.90,17,14888,17,209
192,BlackRock,16205.00,0.115,"4,932",0.102,"176,982",115079.80,27,16500,27,22
193,Dominion Energy,16128.00,-0.027,-401,-1.295,"95,905",61224.00,4,17300,4,232
194,Rocket Companies,15980.70,2.043,198,-,"37,534.60",45821.00,-,24000,-,272
195,Kohl's,15955.00,-0.201,-163,-1.236,"15,337",9394.10,-30,73000,-30,256
196,Fluor,15884.20,-0.096,-435,-,"7,309.80",3252.40,-15,43717,-15,384
197,DISH Network,15493.40,0.21,"1,762.70",0.259,"38,239.90",19048.20,54,13500,54,385
198,BJ's Wholesale Club,15430.00,0.17,421,1.249,"5,411.50",6156.50,45,32000,45,399
199,Tenneco,15379.00,-0.119,"-1,521",-,"11,852",875.70,-14,73000,-14,276
200,United Airlines Holdings,15355.00,-0.645,"-7,069",-3.349,"59,548",18325.10,-124,74400,-124,386
201,Mastercard,15301.00,-0.094,"6,411",-0.21,"33,584",353686.70,-10,21000,-10,32
202,Waste Management,15218.00,-0.015,"1,496",-0.104,"29,345",54451.70,5,48250,5,83
203,PBF Energy,15115.90,-0.383,"-1,392.40",-5.359,"10,499.80",1699.50,-78,3729,-78,399
204,American Electric Power,14918.50,-0.041,"2,200.10",0.145,"80,757.20",42067.30,-,16787,-,122
205,Fiserv,14852.00,0.458,958,0.073,"74,619",79692.50,106,44000,106,343
206,Principal Financial,14741.70,-0.091,"1,395.80",0.001,"296,627.70",16345.90,-5,17400,-5,121
207,Reinsurance Group of America,14596.00,0.021,415,-0.523,"84,656",8568.00,18,3600,18,231
208,Automatic Data Processing,14589.80,0.029,"2,466.50",0.076,"39,165.50",80653.90,19,58000,19,131
209,Stanley Black & Decker,14534.60,0.006,"1,233.80",0.291,"23,566.30",32152.40,11,58350,11,296
210,Texas Instruments,14461.00,0.005,"5,595",0.115,"19,351",174439.30,12,30000,12,138
211,Halliburton,14445.00,-0.355,"-2,945",-,"20,680",19070.10,-69,40000,-69,248
212,Stryker,14351.00,-0.036,"1,599",-0.232,"34,330",91665.10,2,43000,2,256
213,Estée Lauder,14294.00,-0.038,684,-0.617,"17,781",105508.60,2,48000,2,21
214,Corteva,14217.00,0.027,681,-,"42,649",34528.50,20,21000,20,343
215,Freeport-McMoRan,14198.00,-0.014,599,-,"42,144",48027.80,6,24500,6,302
216,Qurate Retail,14177.00,0.053,"1,204",-,"16,999",4880.50,23,26424,23,-
217,Wayfair,14145.20,0.55,185,-,"4,569.90",32644.70,131,16122,131,399
218,Laboratory Corp. of America,13978.50,0.21,"1,556.10",0.889,"20,071.70",24890.90,56,68780,56,343
219,Land O'Lakes,13948.90,0.004,264.9,0.287,"9,186",-,13,9000,13,-
220,PPG Industries,13834.00,-0.087,"1,059",-0.148,"19,556",35603.60,-11,46900,-11,341
221,Gap,13800.00,-0.158,-665,-2.895,"13,769",11164.90,-22,117000,-22,4
222,Kellogg,13770.00,0.014,"1,251",0.303,"17,996",21544.50,15,31000,15,268
223,Parker-Hannifin,13695.50,-0.044,"1,206.30",-0.202,"19,738.20",40716.10,1,50520,1,399
224,Core-Mark Holding,13617.10,0.022,63.2,0.095,"1,954.70",1747.30,16,7534,16,399
225,Jacobs Engineering Group,13578.20,-0.122,491.8,-0.42,"12,354.40",16816.20,-19,53500,-19,199
226,Edison International,13578.00,0.1,739,-0.424,"69,372",22229.30,33,13209,33,38
227,Guardian Life Ins. Co. of America,13561.50,0.006,23.5,-0.965,"85,424.70",-,11,8871,11,-
228,Biogen,13444.60,-0.065,"4,000.60",-0.321,"24,618.90",42615.90,-5,9100,-5,5
229,Omnicom Group,13171.10,-0.119,945.4,-0.294,"27,647.20",15946.20,-18,64100,-18,53
230,Unum Group,13162.10,0.097,793,-0.279,"70,625.80",5669.80,36,10500,36,149
231,Lithia Motors,13124.30,0.036,470.3,0.732,"7,902.10",10467.00,21,14538,21,285
232,American Family Insurance Group,13074.50,0.035,403.2,-0.116,"33,941.80",-,22,13225,22,-
233,Discover Financial Services,12953.00,-0.074,"1,141",-0.614,"112,889",29099.70,-2,17600,-2,24
234,Adobe,12868.00,0.152,"5,260",0.782,"24,284",227226.90,51,22516,51,73
235,Aramark,12829.60,-0.209,-461.5,-2.029,"15,712.70",9595.30,-35,209325,-35,314
236,Otis Worldwide,12756.00,-,906,-,"10,710",29418.40,-,69000,-,140
237,Ecolab,12748.70,-0.145,"-1,205.10",-1.773,"18,126",61240.70,-24,44000,-24,147
238,AutoZone,12632.00,0.065,"1,733",0.072,"14,423.90",30946.30,30,80000,30,90
239,Loews,12583.00,-0.157,-931,-1.999,"80,236",13698.30,-27,12200,-27,399
240,Illinois Tool Works,12574.00,-0.109,"2,109",-0.163,"15,612",70106.70,-11,43000,-11,107
241,Fidelity National Information Services,12552.00,0.215,158,-0.47,"83,842",87336.90,62,62000,62,229
242,Ross Stores,12531.60,-0.219,85.4,-0.949,"12,717.90",42750.70,-40,93700,-40,273
243,Peter Kiewit Sons',12463.00,0.212,826,0.971,"6,440",-,64,27000,64,-
244,Equitable Holdings,12415.00,0.294,-648,-,"275,397",14207.50,89,12400,89,94
245,WESCO International,12326.00,0.475,100.6,-0.55,"11,880.20",4340.50,134,18000,134,322
246,Goodyear Tire & Rubber,12321.00,-0.164,"-1,254",-,"16,506",4099.10,-30,62000,-30,343
247,Fox,12303.00,0.08,999,-0.374,"21,750",21022.20,33,9000,33,102
248,Leidos Holdings,12297.00,0.108,628,-0.058,"12,511",13608.80,41,39000,41,280
249,Consolidated Edison,12246.00,-0.026,"1,101",-0.18,"62,895",25613.00,7,14071,7,70
250,DTE Energy,12177.00,-0.039,"1,368",0.17,"45,496",25792.80,3,10600,3,154
251,Charles Schwab,12109.00,0.027,"3,299",-0.109,"549,009",122691.20,20,32000,20,218
252,State Street,12078.00,-0.08,"2,420",0.079,"314,706",29553.60,-8,39439,-8,30
253,Ameriprise Financial,11958.00,-0.087,"1,534",-0.19,"165,883",27103.50,-8,12300,-8,275
254,Viatris,11946.00,-,-669.9,-,"61,553",16862.90,-,45000,-,167
255,Sempra Energy,11940.00,-0.04,"3,932",0.79,"66,623",40132.80,3,14706,3,43
256,Farmers Insurance Exchange,11869.70,-0.057,-116.4,-3.105,"17,853.30",-,-1,10004,-1,-
257,Bath & Body Works,11846.90,-0.083,844.5,-,"11,571",17247.50,-9,57350,-9,307
258,W.W. Grainger,11797.00,0.027,695,-0.181,"6,295",20985.10,20,22450,20,74
259,Community Health Systems,11789.00,-0.108,511,-,"16,006",1752.40,-18,62500,-18,288
260,Ball,11781.00,0.027,585,0.034,"18,252",27800.50,19,21500,19,225
261,Berry Global Group,11709.00,0.319,559,0.384,"16,701",8221.10,97,47000,97,300
262,Kinder Morgan,11700.00,-0.114,119,-0.946,"71,973",37703.10,-20,10524,-20,271
263,VF,11688.10,-0.157,679.4,-0.461,"11,133.30",31305.80,-30,48000,-30,50
264,Baxter International,11673.00,0.027,"1,102",0.101,"20,019",42656.80,18,50000,18,40
265,Textron,11651.00,-0.145,309,-0.621,"15,443",12726.00,-29,33000,-29,159
266,LKQ,11628.80,-0.07,638.4,0.18,"12,360.50",12801.20,-9,44000,-9,392
267,Keurig Dr Pepper,11618.00,0.045,"1,325",0.057,"49,779",48367.80,21,27000,21,335
268,O'Reilly Automotive,11604.50,0.143,"1,752.30",0.26,"11,596.60",35460.80,46,70179,46,399
269,Crown Holdings,11575.00,-0.008,579,0.135,"16,670",13091.90,3,33264,3,393
270,Universal Health Services,11558.90,0.016,944,0.158,"13,476.90",11350.60,11,78550,11,399
271,DaVita,11550.60,-0.181,773.6,-0.046,"16,988.50",11790.00,-41,67000,-41,135
272,Xcel Energy,11526.00,-,"1,473",0.074,"53,957",35759.00,4,11367,4,219
273,Newmont,11497.00,0.18,"2,829",0.009,"41,369",48282.70,55,14300,55,277
274,Vistra,11443.00,-0.031,636,-0.315,"25,208",8512.00,-4,5365,-4,224
275,IQVIA Holdings,11359.00,0.024,279,0.461,"24,564",37034.40,15,70000,15,254
276,eBay,11351.00,0.051,"5,667",2.173,"19,310",41670.50,19,12700,19,113
277,Corning,11303.00,-0.017,512,-0.467,"30,775",33466.30,-,50110,-,249
278,Quanta Services,11202.70,-0.075,445.6,0.108,"8,398.30",12173.40,-17,35800,-17,399
279,HollyFrontier,11183.60,-0.36,-601.4,-1.779,"11,506.90",5811.20,-95,3891,-95,399
280,Bed Bath & Beyond,11158.60,-0.072,-613.8,-,"7,790.50",3533.40,-15,55000,-15,364
281,Uber Technologies,11139.00,-0.213,"-6,768",-,"33,252",101438.00,-53,22800,-53,37
282,Mutual of Omaha Insurance,11098.40,0.061,698.1,1.572,"47,294",-,18,5526,18,-
283,Conagra Brands,11054.40,0.159,840.1,0.239,"22,304",18370.60,51,16500,51,289
284,PulteGroup,11036.10,0.081,"1,406.80",0.384,"12,205.50",13869.10,25,5249,25,399
285,EOG Resources,11032.00,-0.365,-604.6,-1.221,"35,804.60",42331.90,-99,2900,-99,324
286,Group 1 Automotive,10851.80,-0.099,286.5,0.647,"5,089.40",2855.30,-22,12337,-22,399
287,Ally Financial,10780.00,-0.072,"1,085",-0.367,"182,165",16875.60,-14,9500,-14,222
288,Fidelity National Financial,10778.00,0.273,"1,427",0.344,"50,455",11838.90,87,27058,87,318
289,Nordstrom,10715.00,-0.31,-690,-2.391,"9,538",5974.80,-84,62000,-84,49
290,Discovery,10671.00,-0.042,"1,219",-0.411,"34,087",19355.90,-3,9800,-3,317
291,Tractor Supply,10620.40,0.272,749,0.332,"7,049.10",20576.80,89,32000,89,251
292,CSX,10583.00,-0.113,"2,765",-0.17,"39,793",73230.60,-25,19282,-25,378
293,Marriott International,10571.00,-0.496,-267,-1.21,"24,701",48220.20,-136,121000,-136,31
294,FirstEnergy,10435.00,-0.038,"1,079",0.183,"44,464",18871.60,-,12153,-,379
295,BorgWarner,10165.00,-,500,-0.33,"16,029",11081.00,17,49700,17,295
295,Jones Financial (Edward Jones),10165.00,0.067,"1,285",0.177,"28,320",-,41,50000,41,293
297,Republic Services,10153.60,-0.014,967.2,-0.099,"23,434",31682.50,8,35000,8,304
298,Henry Schein,10119.10,-0.018,403.8,-0.419,"7,772.50",9850.70,6,19000,6,298
299,Expeditors Intl. of Washington,10116.50,0.237,696.1,0.179,"4,927.50",18166.70,90,17480,90,399
300,Entergy,10113.60,-0.07,"1,388.30",0.119,"58,239.20",20000.30,-7,13400,-7,371
301,Advance Auto Parts,10106.30,0.041,493,0.013,"11,839.60",12006.10,29,54000,29,338
302,Assurant,10094.80,0.001,441.8,0.155,"44,649.90",8208.90,13,13850,13,97
303,Pacific Life,10062.00,-0.151,-671,-1.926,"190,672",-,-34,4083,-34,-
304,Lam Research,10044.70,0.041,"2,251.80",0.028,"14,559",85064.70,27,11300,27,227
305,Boston Scientific,9913.00,-0.077,-82,-1.017,"30,777",54903.00,-9,38000,-9,59
306,Altice USA,9894.60,0.014,436.2,2.139,"33,376.70",15393.70,21,8900,21,399
307,Norfolk Southern,9789.00,-0.133,"2,013",-0.26,"37,962",67418.00,-24,20156,-24,234
308,Sonic Automotive,9767.00,-0.066,-51.4,-1.357,"3,746",2038.00,-7,8100,-7,454
309,Advanced Micro Devices,9763.00,0.45,"2,490",6.302,"8,962",95346.70,139,12600,139,313
